m_id,m_nLine,m_nLineA,m_nLen,m_nLenA,m_gametext
0,3,2,20,12,"['no data.', '', '', '', '', '', '', '', '', '', '', '']"
2101,3,2,20,12,"['チュートリアルテスト', 'チュートリアルテスト（イギリス）', 'チュートリアルテスト（アメリカ）', 'チュートリアルテスト（簡体字）', 'チュートリアルテスト（繁体字）', 'チュートリアルテスト（韓国）', 'チュートリアルテスト（フランス）', 'チュートリアルテスト（ドイツ）', 'チュートリアルテスト（スペイン）', 'チュートリアルテスト（ラテン）', 'チュートリアルテスト（イタリア）', 'チュートリアルテスト（オランダ）']"
2102,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2103,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2104,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2105,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2106,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2107,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2108,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2109,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2110,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2111,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2112,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2113,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2114,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2115,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2116,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2117,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2118,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2119,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2120,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2121,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2122,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2123,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2124,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2125,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2126,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2127,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2128,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2129,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2130,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2601,3,2,20,12,"['ヘルプテスト', 'ヘルプテスト（イギリス）', 'ヘルプテスト（アメリカ）', 'ヘルプテスト（簡体字）', 'ヘルプテスト（繁体字）', 'ヘルプテスト（韓国）', 'ヘルプテスト（フランス）', 'ヘルプテスト（ドイツ）', 'ヘルプテスト（スペイン）', 'ヘルプテスト（ラテン）', 'ヘルプテスト（イタリア）', 'ヘルプテスト（オランダ）']"
2602,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2603,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2604,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2605,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2606,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2607,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2608,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2609,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2610,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2611,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2612,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2613,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2614,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2615,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2616,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2617,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2618,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2619,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2620,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2621,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2622,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2623,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2624,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2625,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2626,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2627,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2628,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2629,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
2630,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
