m_id,m_SynopsisCategory,m_QuestTitle,m_DirectQuestTexID,m_DirectQuestTitle,m_Synopsis,m_IsComplete
0,0,0,500,63250,63250,194
1,1,0,5103,215104061,215104027,195
1011,2,1001010,500,63250,215104028,194
1012,2,1001020,500,63250,215104029,194
1013,2,1001030,500,63250,215104030,195
1021,3,1002010,500,63250,215104031,194
1022,3,1002020,500,63250,215104032,194
1023,3,1002030,500,63250,215104033,195
1031,4,1003010,500,63250,215104034,194
1032,4,1003020,500,63250,215104035,194
1033,4,1003030,500,63250,215104036,195
10000,10,1004000,500,63250,215104037,195
10001,5,1004010,500,63250,215104038,194
10002,5,1004020,500,63250,215104039,194
10003,5,1004030,500,63250,215104040,194
10004,5,1004040,500,63250,215104041,194
10005,5,1004050,500,63250,215104042,194
10006,5,1004060,500,63250,215104043,194
10007,5,1004070,500,63250,215104044,194
10008,5,1004080,500,63250,215104045,195
10009,9,1004090,500,63250,215104046,195
10010,11,1004100,500,63250,215104047,195
10011,6,1005000,500,63250,215104048,194
10012,6,1005010,500,63250,215104049,194
10013,6,1005020,500,63250,215104050,194
10015,7,1006000,500,63250,215104052,194
10016,7,1006010,500,63250,215104053,194
10017,7,1006020,500,63250,215104054,194
10019,8,1007000,500,63250,215104056,194
10020,8,1007010,500,63250,215104057,194
