m_id,m_PoisonX,m_PoisonY,m_BleedX,m_BleedY,m_SilenceX,m_SilenceY,m_SleepX,m_SleepY,m_PalalysisX,m_PalalysisY,m_FearX,m_FearY,m_WasteX,m_WasteY,m_DarknessX,m_DarknessY,m_HeadacheX,m_HeadacheY,m_EnergyDrainX,m_EnergyDrainY,m_RegenerateX,m_RegenerateY,m_ProvokeX,m_ProvokeY,m_CounterX,m_CounterY,m_InterceptX,m_InterceptY,m_PerfectInterceptScale,m_BreakX,m_BreakY,m_CountDownX,m_CountDownY
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-55.0,170.0,-50.0,0.0,-70.0,100.0,-40.0,70.0,-30.0,0.0,-70.0,90.0,-55.0,0.0,-65.0,110.0,-30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,30.0,0.15000000596046448,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
90,0.0,190.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,30.0,0.15000000596046448,-10.0,160.0,0.0,0.0
10,30.0,200.0,0.0,50.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,80.0,250.0,40.0,130.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
12,80.0,500.0,60.0,380.0,0.0,0.0,25.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,30.0,200.0,0.0,50.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,60.0,270.0,35.0,125.0,0.0,0.0,50.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,250.0,0.0,0.0
14,70.0,540.0,60.0,350.0,0.0,0.0,25.0,500.0,0.0,300.0,0.0,0.0,0.0,0.0,35.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500.0,0.0,0.0
74,40.0,270.0,0.0,100.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
15,55.0,560.0,5.0,415.0,0.0,0.0,25.0,500.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,550.0,0.0,0.0
76,100.0,570.0,60.0,410.0,0.0,0.0,90.0,500.0,0.0,300.0,0.0,0.0,0.0,0.0,60.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,560.0,0.0,0.0
78,80.0,290.0,35.0,125.0,0.0,0.0,50.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,280.0,0.0,0.0
79,70.0,690.0,-10.0,510.0,0.0,0.0,25.0,680.0,0.0,300.0,0.0,0.0,0.0,0.0,25.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,680.0,-40.0,-115.0
80,80.0,330.0,20.0,180.0,0.0,0.0,40.0,310.0,0.0,100.0,0.0,0.0,0.0,0.0,30.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,325.0,0.0,0.0
91,50.0,430.0,360.0,310.0,0.0,0.0,290.0,330.0,0.0,200.0,0.0,0.0,0.0,0.0,260.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280.0,400.0,-100.0,-90.0
