m_id,m_FontColor,m_FontType,m_FontSize,m_TypeFace,m_Alignment
0,"[240, 235, 230]",0,10,0,1
1,"[240, 235, 230]",1,24,1,0
2,"[240, 235, 230]",1,22,1,0
3,"[240, 235, 230]",1,19,1,0
16,"[240, 235, 230]",1,24,1,0
4,"[240, 235, 230]",0,19,0,0
17,"[240, 235, 230]",0,22,0,0
5,"[240, 235, 230]",0,14,0,0
6,"[240, 235, 230]",1,24,1,1
7,"[240, 235, 230]",1,22,1,1
8,"[240, 235, 230]",1,19,1,1
9,"[240, 235, 230]",0,19,0,1
18,"[240, 235, 230]",0,22,0,1
21,"[240, 235, 230]",0,16,0,1
10,"[240, 235, 230]",0,14,0,1
20,"[240, 235, 230]",0,12,0,1
11,"[240, 235, 230]",1,24,1,2
12,"[240, 235, 230]",1,22,1,2
13,"[240, 235, 230]",1,19,1,2
14,"[240, 235, 230]",0,19,0,2
19,"[240, 235, 230]",0,22,0,2
15,"[240, 235, 230]",0,14,0,2
