m_id,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
23026955154242596007299737334495660689311220620721728269893811253297,1,0,0,0,0,0,0,0,26,QuTr_PC006_01_01,203,0,1,0,,194,194,194,194,194,0,1,2006010,0,0,2,2006010,0,66,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23132267445911153193997655362179331121630115716122277381148122230835,1,10000392,0,0,0,0,0,0,26,QuTr_PC006_01_03,204,0,1,0,,194,194,194,194,194,0,2,2006010,0,67,3,2006010,0,67,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23237579737579710380695573389863001553949010811522826492402449985585,1,10000392,0,0,0,0,0,0,26,QuTr_PC006_02_01,205,0,1,0,,194,194,194,194,194,0,1,2006020,0,0,2,2006020,0,444,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23342892029248267567393491417546671986267905906923375603656760963123,1,10000392,0,0,0,0,0,0,26,QuTr_PC006_02_03,206,0,1,0,,194,194,194,194,194,0,2,2006020,0,445,3,2006020,0,445,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23448204320916824754091409445230342418586801002323924714911088717873,1,0,0,0,0,0,0,0,26,QuTr_PC006_03_01,207,0,1,0,,194,194,194,194,194,0,1,2006030,0,0,2,2006030,0,447,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23553516612585381940789327472914012850905696097724473826165399695410,1,0,0,0,0,0,0,0,26,QuTr_PC006_03_02,208,0,1,0,,194,194,194,194,194,0,2,2006030,0,447,3,2006030,0,447,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23658828904253939127487245500597683283224591193125022937419727450161,1,1006,0,0,0,0,0,0,26,QuTr_PC006_04_01,210,0,3,13,,194,194,194,194,194,0,1,2006040,0,0,2,2006040,0,644,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23764141195922496314185163528281353715543486288525572048674038427698,1,0,0,0,0,0,0,0,26,QuTr_PC006_04_02,211,0,1,0,,194,194,194,194,194,0,2,2006040,0,644,3,2006040,0,644,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23869453487591053500883081555965024147862381383926193780472290422833,1,1018,0,0,0,0,0,0,26,QuTr_PC018_01_01,213,0,1,0,,194,194,194,194,194,0,1,2018010,0,0,2,2018010,0,114,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23974765779259610687580999583648694580181276479326742891726601400370,1,0,0,0,0,0,0,0,26,QuTr_PC018_01_02,214,0,1,0,,194,194,194,194,194,0,2,2018010,0,114,3,2018010,0,114,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
