m_id,m_SoundLabel,m_Category,m_Usage,m_Sheet,m_Loop,m_PlayMax,m_FadeI,m_FadeO,m_Priority
0,,0,0,0,194,1,0.0,1.0,1
1,bgm_theme_scholar,0,0,2,194,1,0.0,1.0,1
2,bgm_theme_hunter,0,0,2,194,1,0.0,1.0,1
3,bgm_theme_fencer,0,0,2,194,1,0.0,1.0,1
4,bgm_theme_pharmacist,0,0,2,194,1,0.0,1.0,1
5,bgm_theme_merchant,0,0,2,194,1,0.0,1.0,1
6,bgm_theme_dancer,0,0,2,194,1,0.0,1.0,1
7,bgm_theme_thief,0,0,2,194,1,0.0,1.0,1
8,bgm_theme_priest,0,0,2,194,1,0.0,1.0,1
9,bgm_map_t_sea,0,0,1,194,1,0.0,1.0,1
10,bgm_map_t_desert,0,0,1,194,1,0.0,1.0,1
11,bgm_map_t_mount_sp,0,0,1,194,1,0.0,1.0,1
12,bgm_map_t_snow_sp,0,0,1,194,1,0.0,1.0,1
13,bgm_map_t_desert_sp,0,0,1,194,1,0.0,1.0,1
14,bgm_map_t_river_sp,0,0,1,194,1,0.0,1.0,1
15,bgm_map_f_sea,0,0,1,194,1,0.0,1.0,1
16,bgm_map_f_mount,0,0,1,194,1,0.0,1.0,1
17,bgm_map_f_forest,0,0,1,194,1,0.0,1.0,1
18,bgm_map_f_cliff,0,0,1,194,1,0.0,1.0,1
19,bgm_map_f_snow,0,0,1,194,1,0.0,1.0,1
20,bgm_map_f_desert,0,0,1,194,1,0.0,1.0,1
21,bgm_map_f_river,0,0,1,194,1,0.0,1.0,1
22,bgm_map_d_cave,0,0,1,194,1,0.0,1.0,1
23,bgm_bat_extend_fencer,0,0,1,194,1,0.0,1.0,1
24,bgm_bat_extend_dancer,0,0,1,194,1,0.0,1.0,1
25,bgm_jin_win,0,0,1,194,1,0.0,1.0,1
26,bgm_jin_lose,0,0,1,194,1,0.0,1.0,1
27,bgm_jin_iin,0,0,1,194,1,0.0,1.0,1
28,bgm_event_kinpaku,0,0,2,194,1,0.0,1.0,1
29,bgm_event_huantei,0,0,2,194,1,0.0,1.0,1
30,bgm_event_aku,0,0,2,194,1,0.0,1.0,1
31,bgm_event_yuujou,0,0,2,194,1,0.0,1.0,1
32,bgm_event_huon,0,0,2,194,1,0.0,1.0,1
33,bgm_event_yasashisa,0,0,2,194,1,0.0,1.0,1
34,bgm_event_kyouhu,0,0,2,194,1,0.0,1.0,1
35,bgm_theme_main,0,0,1,194,1,0.0,1.0,1
36,bgm_bat_battle01,0,0,1,194,1,0.0,1.0,1
37,bgm_bat_mboss2,0,0,1,194,1,0.0,1.0,1
38,bgm_bat_mboss1,0,0,1,194,1,0.0,1.0,1
39,bgm_bat_battle02,0,0,1,194,1,0.0,1.0,1
40,bgm_bat_battle03,0,0,1,194,1,0.0,1.0,1
49,bgm_map_t_snow,0,0,1,194,1,0.0,1.0,1
50,bgm_map_t_sea_sp,0,0,1,194,1,0.0,1.0,1
51,bgm_map_t_river,0,0,1,194,1,0.0,1.0,1
52,bgm_map_t_plain_sp,0,0,1,194,1,0.0,1.0,1
53,bgm_map_t_plain,0,0,1,194,1,0.0,1.0,1
54,bgm_map_t_mount,0,0,1,194,1,0.0,1.0,1
55,bgm_map_t_forest_sp,0,0,1,194,1,0.0,1.0,1
56,bgm_map_t_forest,0,0,1,194,1,0.0,1.0,1
57,bgm_map_t_cliff_sp,0,0,1,194,1,0.0,1.0,1
58,bgm_map_t_cliff,0,0,1,194,1,0.0,1.0,1
59,bgm_map_mount32,0,0,1,194,1,0.0,1.0,1
60,bgm_map_f_plain,0,0,1,194,1,0.0,1.0,1
61,bgm_map_f_last,0,0,1,194,1,0.0,1.0,1
62,bgm_map_d_underpass,0,0,1,194,1,0.0,1.0,1
63,bgm_map_d_mansion,0,0,1,194,1,0.0,1.0,1
64,bgm_map_d_last,0,0,1,194,1,0.0,1.0,1
65,bgm_map_d_forest,0,0,1,194,1,0.0,1.0,1
66,bgm_bat_upboss,0,0,1,194,1,0.0,1.0,1
67,bgm_bat_mboss2,0,0,1,194,1,0.0,1.0,1
68,bgm_bat_mboss1,0,0,1,194,1,0.0,1.0,1
