m_id,m_RegionText,m_MapText,m_DescriptionText,m_RiskLevel,m_RecommendedJob,m_Icon,m_IconPosX,m_IconPosY,m_IconScale,m_AppearEnemyID,m_DifficultyGroup,m_DifficultyNum,m_StartMap,m_ReleaseQuestStaet,m_ReleaseQuestID,m_ReleaseQuestTaskId,m_TrigConditionID,m_ReleaseConditions,m_Difficulty,m_Collabo,m_EntryItemType,m_EntryItemID,m_EntryItemNum,m_probability,m_BossGroup,m_JudgeType,m_Reward2Open,m_Reward3Open,m_RewardStoneNum,m_Enable_TimeStamp,m_StartTimestamp,m_EndTimestamp,m_SkipExp,m_SkipMoney,m_Great_Probability
0,0,0,0,0,"[0, 0, 0, 0]",0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[0, 0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]","[0, 0, 0]",0,194,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[0, 0]","[0, 0]",0
1,3101,3267,16046,25,"[1, 2, 4, 8]",17,3709.0,1877.0,1.0,"[8001, 8002, 8003, 8004, 8005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,"[6, 0, 0, 0, 0]",0,0,0,"[30093, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[8005, 0, 0, 0]",0,"[0, 300, 0, 0, 0, 0, 0, 0]","[0, 500, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[10200, 15300]","[16080, 24120]",25
3,3108,3306,16051,35,"[1, 4, 5, 6]",16,3025.0,2069.0,1.0,"[10001, 10002, 10003, 10004, 10005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,7,"[7, 0, 0, 0, 0]",3,1004010,541,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[10005, 0, 0, 0]",0,"[300, 0, 0, 0, 0, 0, 0, 0]","[500, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[19800, 29700]","[18440, 27660]",25
2,3102,3314,16053,40,"[3, 5, 6, 7]",18,4517.0,1921.0,1.0,"[9001, 9002, 9003, 9004, 9005, 9006, 9007, 0, 0, 0, 0, 0, 0, 0, 0]",1,8,"[8, 0, 0, 0, 0]",3,1004020,888,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[9007, 0, 0, 0]",0,"[0, 0, 300, 0, 0, 0, 0, 0]","[0, 0, 500, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[38800, 58200]","[26520, 39780]",25
4,3103,3296,16048,45,"[2, 3, 7, 8]",19,4557.0,2729.0,1.0,"[11001, 11002, 11003, 11004, 11005, 11006, 11007, 0, 0, 0, 0, 0, 0, 0, 0]",1,9,"[9, 0, 0, 0, 0]",3,1004030,550,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[11007, 0, 0, 0]",0,"[0, 300, 0, 0, 0, 0, 0, 0]","[0, 500, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[55400, 83100]","[30460, 45690]",25
5,3107,3288,16047,50,"[1, 2, 4, 8]",16,2481.0,3041.0,1.0,"[12001, 12002, 12003, 12004, 12005, 12006, 12007, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,"[10, 0, 0, 0, 0]",3,1004040,557,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[12007, 0, 0, 0]",0,"[0, 0, 300, 0, 0, 0, 0, 0]","[0, 0, 500, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[74400, 111600]","[34900, 52350]",25
6,3106,3312,16052,55,"[3, 5, 6, 7]",16,3137.0,3745.0,1.0,"[13001, 13002, 13003, 13004, 13005, 13006, 13007, 0, 0, 0, 0, 0, 0, 0, 0]",1,11,"[11, 0, 0, 0, 0]",3,1004050,562,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[13007, 0, 0, 0]",0,"[300, 0, 0, 0, 0, 0, 0, 0]","[500, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[99700, 149550]","[38660, 57990]",25
7,3105,3298,16049,60,"[1, 4, 5, 6]",16,4325.0,3565.0,1.0,"[14001, 14002, 14003, 14004, 14005, 15007, 14006, 0, 0, 0, 0, 0, 0, 0, 0]",1,12,"[12, 0, 0, 0, 0]",3,1004060,568,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[14006, 0, 0, 0]",0,"[0, 300, 0, 0, 0, 0, 0, 0]","[0, 500, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[136800, 205200]","[42060, 63090]",25
8,3104,3302,16050,65,"[2, 3, 7, 8]",16,5033.0,3281.0,1.0,"[15001, 15002, 15003, 15004, 15005, 15008, 15006, 0, 0, 0, 0, 0, 0, 0, 0]",1,13,"[13, 0, 0, 0, 0]",3,1004070,572,"[0, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[15006, 0, 0, 0]",0,"[0, 0, 300, 0, 0, 0, 0, 0]","[0, 0, 500, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[178200, 267300]","[45160, 67740]",25
9,3101,16088,16096,66,"[1, 2, 4, 8]",17,3709.0,1877.0,1.0,"[8023, 8024, 8025, 8026, 8027, 8028, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,14,"[14, 0, 0, 0, 0]",3,7001016,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[8027, 0, 0, 0]",0,"[0, 400, 0, 0, 0, 0, 0, 0]","[0, 600, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[205000, 307500]","[52500, 78750]",25
