m_id,m_TextID,m_IsChild,m_ParentTabID,m_IsAllTab,m_SortPriority,m_IsEmpTabHide
0,0,194,0,194,0,194
9,1,194,0,195,100,194
14,2,194,0,194,200,195
10,3,195,0,194,300,194
11,4,195,0,194,400,194
12,5,195,0,194,600,194
20,1,194,11,195,400,194
15,132,194,11,194,410,194
16,140,194,11,194,420,194
17,188,194,11,194,490,194
19,187,195,0,194,500,194
21,219,194,10,194,310,194
22,255,194,10,194,320,194
23,256,194,10,194,330,194
24,257,194,10,194,340,195
25,258,194,10,194,350,195
26,259,194,10,194,360,195
27,260,194,10,194,370,195
28,1,194,10,195,300,194
30,326,194,0,194,700,194
31,327,194,19,194,520,194
32,328,194,19,194,530,194
33,1,194,19,195,500,194
35,1,194,12,195,610,194
36,595,194,12,194,620,194
