m_id,m_LockWeapon,m_LockMagic,m_RemoveConditions,m_RemoveParams
0,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 0]","[0, 0]"
1,"[194, 195, 195, 195, 195, 195, 195, 195, 195]","[194, 195, 195, 195, 195, 195, 195, 195]","[204, 2]","[0, 0]"
2,"[194, 195, 194, 194, 194, 194, 194, 194, 195]","[194, 194, 194, 195, 194, 194, 194, 194]","[204, 21]","[1, 0]"
3,"[194, 194, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 195, 194]","[204, 21]","[1, 0]"
4,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 195, 194, 194, 194]","[204, 21]","[1, 0]"
5,"[194, 194, 194, 195, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 21]","[1, 0]"
6,"[194, 195, 195, 194, 194, 195, 194, 194, 194]","[194, 194, 195, 194, 194, 194, 195, 194]","[204, 21]","[1, 0]"
7,"[194, 194, 194, 194, 195, 194, 194, 195, 194]","[194, 194, 195, 194, 194, 195, 194, 194]","[204, 21]","[1, 0]"
8,"[194, 194, 195, 195, 195, 194, 194, 194, 194]","[194, 195, 194, 194, 194, 194, 194, 194]","[204, 21]","[1, 0]"
9,"[194, 195, 194, 195, 194, 195, 194, 194, 194]","[194, 195, 194, 194, 195, 194, 194, 194]","[204, 21]","[1, 0]"
10,"[194, 195, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 21]","[1, 0]"
12,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 195, 194, 194, 194, 194, 194]","[204, 21]","[1, 0]"
11,"[194, 194, 195, 194, 194, 195, 195, 194, 194]","[194, 194, 194, 194, 195, 195, 194, 194]","[204, 21]","[1, 0]"
13,"[194, 195, 194, 194, 194, 195, 194, 194, 194]","[194, 194, 194, 195, 194, 194, 194, 194]","[204, 20]","[1, 0]"
14,"[194, 194, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 0]","[1, 0]"
15,"[194, 194, 194, 194, 194, 194, 194, 195, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 0]","[1, 0]"
16,"[194, 195, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 0]","[1, 0]"
