m_id,m_DisplayName,m_FlipbookID,m_NpcCharaID,m_ScaleX,m_ScaleY,m_HitPosX,m_HitPosY,m_HitScaleX,m_HitScaleY,m_Size,m_WeakID,m_EffectOffsetX,m_EffectOffsetY,m_EffectFromBottomOffsetY,m_AilmentInfoOffsetX,m_AilmentOffset,m_DamageOffsetX,m_DamageOffsetY,m_CursorOffsetX,m_CursorOffsetY,m_SupportOffsetY,m_SupportOffsetX,m_CallSE,m_VoiceSymbol,m_OrderTexUS,m_OrderTexVS,m_OrderScaleS,m_OrderTexUL,m_OrderTexVL,m_OrderScaleL,m_AttachEffect,m_BattleAttachEffectOffsetX,m_BattleAttachEffectOffsetY,m_FieldAttachEffect,m_FieldAttachEffectOffsetX,m_FieldAttachEffectOffsetY
0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0
100,49277,"[1, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,3544,0.4000000059604645,0.5,0.0,0.0,20001,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12557,0,0.30000001192092896,0.10000000149011612,1.5,0.25,0.10000000149011612,1.0,0,0,0,0,0,0
101,49278,"[2, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,5231,0.4000000059604645,0.5,0.0,0.0,20002,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12534,0,0.03999999910593033,0.0,1.0,0.03999999910593033,0.0,1.0,0,0,0,0,0,0
102,49279,"[3, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,4162,0.4000000059604645,0.5,0.0,0.0,20003,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12553,0,0.03999999910593033,-0.10000000149011612,1.5,0.0,-0.03999999910593033,1.0,0,0,0,0,0,0
103,49280,"[4, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,3786,0.4000000059604645,0.5,0.0,0.0,20004,0.20000000298023224,1.0,0.0,0.6000000238418579,0.0,0.0,12528,0,0.10000000149011612,0.0,1.5,0.10000000149011612,0.019999999552965164,1.0,0,0,0,0,0,0
104,49287,"[5, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,4184,0.4000000059604645,0.5,0.0,0.0,20009,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12525,0,0.15000000596046448,-0.05000000074505806,1.5,0.15000000596046448,0.0,1.0,0,0,0,0,0,0
105,49288,"[6, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,3774,0.4000000059604645,0.5,0.0,0.0,20010,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,266,0,0.25,0.10000000149011612,1.5,0.20000000298023224,0.05000000074505806,1.0,0,0,0,0,0,0
106,49289,"[7, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,4940,0.4000000059604645,0.5,0.0,0.0,20011,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12530,0,0.20000000298023224,0.05000000074505806,1.5,0.15000000596046448,0.029999999329447746,1.0,0,0,0,0,0,0
107,49290,"[8, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,4205,0.4000000059604645,0.5,0.0,0.0,20012,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12490,0,0.05000000074505806,0.05000000074505806,1.5,0.029999999329447746,0.05000000074505806,1.0,0,0,0,0,0,0
108,49293,"[9, 0, 0, 0]","[0, 0, 0, 0]",1.0,1.0,0.0,0.0,1.0,1.0,cc00,5622,0.4000000059604645,0.5,0.0,0.0,20013,0.20000000298023224,1.0,0.0,0.4000000059604645,0.0,0.0,12525,0,0.12999999523162842,-0.05000000074505806,1.5,0.10000000149011612,0.019999999552965164,1.0,0,0,0,0,0,0
