m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList
0,0,0,0,0,0,0,"[0, 0, 0]"
9001,80040,13,5,9348,40563,40685,"[1, 0, 9347]"
9002,80070,13,5,9348,40564,40686,"[2, 0, 9347]"
9003,80020,13,5,9348,40565,40687,"[3, 0, 9347]"
9004,80010,13,5,9348,40566,40688,"[4, 0, 9347]"
9005,80030,13,5,9348,40567,40689,"[5, 0, 9347]"
9006,80050,13,5,9348,40568,40690,"[6, 0, 9347]"
9007,80060,13,5,9348,40569,40691,"[7, 0, 9347]"
9008,80000,13,5,9348,40570,40692,"[8, 0, 9347]"
9009,79700,13,5,9348,40571,40693,"[66, 0, 9347]"
9010,79750,13,5,9348,40572,40694,"[67, 0, 9347]"
9011,78850,13,5,9348,40573,40695,"[68, 0, 9347]"
9013,79725,13,5,9348,40575,40697,"[70, 0, 9347]"
9014,77650,13,5,9348,40576,40698,"[71, 0, 9347]"
9015,79950,13,5,9348,40577,40699,"[72, 0, 9347]"
9016,79375,13,5,9348,40578,40700,"[73, 0, 9347]"
9018,78000,13,5,9348,40580,40702,"[75, 0, 9347]"
9023,79675,13,5,9348,40585,40707,"[80, 0, 9347]"
9024,79850,13,5,9348,40586,40708,"[81, 0, 9347]"
9025,78600,13,5,9348,40587,40709,"[82, 0, 9347]"
9026,79900,13,5,9348,40588,40710,"[83, 0, 9347]"
9027,79500,13,5,9348,40589,40711,"[84, 0, 9347]"
9029,79650,13,5,9348,40591,40713,"[86, 0, 9347]"
9031,79000,13,5,9348,40593,40715,"[88, 0, 9347]"
9032,79300,13,5,9348,40594,40716,"[89, 0, 9347]"
9037,79050,13,5,9348,40599,40721,"[97, 0, 9347]"
9039,79360,13,5,9348,40601,40723,"[99, 0, 9347]"
9042,78900,13,5,9348,40604,40726,"[103, 0, 9347]"
9043,79450,13,5,9348,40605,40727,"[105, 0, 9347]"
9045,78650,13,5,9348,40607,40729,"[107, 0, 9347]"
9049,79800,13,5,9348,40611,40733,"[112, 0, 9347]"
9050,79550,13,5,9348,40612,40734,"[113, 0, 9347]"
9056,79350,13,5,9348,40618,40740,"[122, 0, 9347]"
9064,79400,13,5,9348,40626,40748,"[130, 0, 9347]"
9065,78950,13,5,9348,40627,40749,"[131, 0, 9347]"
9066,78450,13,5,9348,40628,40750,"[132, 0, 9347]"
9067,78700,13,5,9348,40629,40751,"[133, 0, 9347]"
9117,79250,13,5,9348,40679,40801,"[184, 0, 9347]"
9118,79100,13,5,9348,40680,40802,"[185, 0, 9347]"
9119,79200,13,5,9348,40681,40803,"[186, 0, 9347]"
9120,79150,13,5,9348,40682,40804,"[187, 0, 9347]"
