m_id,m_ShowOrder,m_CategoryID,m_Rare,m_IconID,m_NameID,m_DetailID,m_ParamList
0,0,0,0,0,0,0,"[0, 0, 0]"
1,80040,6,5,8104,20003,20070,"[1, 100, 0]"
2,80070,6,5,8104,20004,20071,"[2, 100, 0]"
3,80020,6,5,8104,20005,20072,"[3, 100, 0]"
4,80010,6,5,8104,20006,20073,"[4, 100, 0]"
5,80030,6,5,8104,20007,20074,"[5, 100, 0]"
6,80050,6,5,8104,20008,20075,"[6, 100, 0]"
7,80060,6,5,8104,20009,20076,"[7, 100, 0]"
8,80000,6,5,8104,20010,20077,"[8, 100, 0]"
9,40520,6,4,8103,20011,20078,"[9, 50, 0]"
10,40500,6,4,8103,20012,20079,"[10, 50, 0]"
11,40510,6,4,8103,20013,20080,"[11, 50, 0]"
12,40130,6,4,8103,20014,20081,"[12, 50, 0]"
13,40420,6,4,8103,20015,20082,"[13, 50, 0]"
14,40410,6,4,8103,20016,20083,"[14, 50, 0]"
15,40400,6,4,8103,20017,20084,"[15, 50, 0]"
16,40230,6,4,8103,20018,20085,"[16, 50, 0]"
17,40710,6,4,8103,20019,20086,"[17, 50, 0]"
18,40720,6,4,8103,20020,20087,"[18, 50, 0]"
19,40730,6,4,8103,20021,20088,"[19, 50, 0]"
20,40300,6,4,8103,20022,20089,"[20, 50, 0]"
21,40210,6,4,8103,20023,20090,"[21, 50, 0]"
22,40700,6,4,8103,20024,20091,"[22, 50, 0]"
23,40200,6,4,8103,20025,20092,"[23, 50, 0]"
24,40220,6,4,8103,20026,20093,"[24, 50, 0]"
25,40530,6,4,8103,20027,20094,"[25, 50, 0]"
26,40100,6,4,8103,20028,20095,"[26, 50, 0]"
27,40110,6,4,8103,20029,20096,"[27, 50, 0]"
28,40120,6,4,8103,20030,20097,"[28, 50, 0]"
29,40310,6,4,8103,20031,20098,"[29, 50, 0]"
30,40330,6,4,8103,20032,20099,"[30, 50, 0]"
31,40430,6,4,8103,20033,20100,"[31, 50, 0]"
32,40320,6,4,8103,20034,20101,"[32, 50, 0]"
33,40620,6,4,8103,20035,20102,"[33, 50, 0]"
34,40600,6,4,8103,20036,20103,"[34, 50, 0]"
35,40630,6,4,8103,20037,20104,"[35, 50, 0]"
36,40610,6,4,8103,20038,20105,"[36, 50, 0]"
37,40020,6,4,8103,20039,20106,"[37, 50, 0]"
38,40030,6,4,8103,20040,20107,"[38, 50, 0]"
39,40000,6,4,8103,20041,20108,"[39, 50, 0]"
40,40010,6,4,8103,20042,20109,"[40, 50, 0]"
41,5420,6,3,8102,20043,20110,"[41, 30, 0]"
42,5400,6,3,8102,20044,20111,"[42, 30, 0]"
43,5410,6,3,8102,20045,20112,"[43, 30, 0]"
44,5700,6,3,8102,20046,20113,"[44, 30, 0]"
45,5710,6,3,8102,20047,20114,"[45, 30, 0]"
46,5720,6,3,8102,20048,20115,"[46, 30, 0]"
47,5210,6,3,8102,20049,20116,"[47, 30, 0]"
48,5200,6,3,8102,20050,20117,"[48, 30, 0]"
49,5220,6,3,8102,20051,20118,"[49, 30, 0]"
50,5110,6,3,8102,20052,20119,"[50, 30, 0]"
51,5120,6,3,8102,20053,20120,"[51, 30, 0]"
52,5100,6,3,8102,20054,20121,"[52, 30, 0]"
53,5320,6,3,8102,20055,20122,"[53, 30, 0]"
54,5320,6,3,8102,20056,20123,"[54, 30, 0]"
55,5300,6,3,8102,20057,20124,"[55, 30, 0]"
56,5510,6,3,8102,20058,20125,"[56, 30, 0]"
57,5500,6,3,8102,20059,20126,"[57, 30, 0]"
58,5520,6,3,8102,20060,20127,"[58, 30, 0]"
59,5610,6,3,8102,20061,20128,"[59, 30, 0]"
60,5620,6,3,8102,20062,20129,"[60, 30, 0]"
61,5600,6,3,8102,20063,20130,"[61, 30, 0]"
62,5010,6,3,8102,20064,20131,"[62, 30, 0]"
63,5020,6,3,8102,20065,20132,"[63, 30, 0]"
64,5000,6,3,8102,20066,20133,"[64, 30, 0]"
66,79700,6,5,8104,20222,20300,"[66, 30, 0]"
67,79750,6,5,8104,20223,20301,"[67, 30, 0]"
68,78850,6,5,8104,20224,20302,"[68, 30, 0]"
70,79725,6,5,8104,20226,20304,"[70, 30, 0]"
71,77650,6,5,8104,20227,20305,"[71, 30, 0]"
72,79950,6,5,8104,20228,20306,"[72, 30, 0]"
73,79375,6,5,8104,20229,20307,"[73, 30, 0]"
75,78000,6,5,8104,20231,20309,"[75, 30, 0]"
80,79675,6,5,8104,20236,20314,"[80, 30, 0]"
81,79850,6,5,8104,20237,20315,"[81, 30, 0]"
82,78600,6,5,8104,20238,20316,"[82, 30, 0]"
83,79900,6,5,8104,20239,20317,"[83, 30, 0]"
84,79500,6,5,8104,20240,20318,"[84, 30, 0]"
86,79650,6,5,8104,20242,20320,"[86, 30, 0]"
88,79000,6,5,8104,20244,20322,"[88, 30, 0]"
89,79300,6,5,8104,20245,20323,"[89, 30, 0]"
97,79050,6,5,8104,20253,20331,"[97, 30, 0]"
99,79360,6,5,8104,20255,20333,"[99, 30, 0]"
103,78900,6,5,8104,20259,20337,"[103, 30, 0]"
105,79450,6,5,8104,20261,20339,"[105, 30, 0]"
107,78650,6,5,8104,20263,20341,"[107, 30, 0]"
112,79800,6,5,8104,20268,20346,"[112, 30, 0]"
113,79550,6,5,8104,20269,20347,"[113, 30, 0]"
122,79350,6,5,8104,20278,20356,"[122, 30, 0]"
130,79400,6,5,8104,20286,20364,"[130, 30, 0]"
131,78950,6,5,8104,20287,20365,"[131, 30, 0]"
132,78450,6,5,8104,20288,20366,"[132, 30, 0]"
133,78700,6,5,8104,20289,20367,"[133, 30, 0]"
184,79250,6,5,8104,40149,40168,"[184, 30, 0]"
185,79100,6,5,8104,40150,40169,"[185, 30, 0]"
186,79200,6,5,8104,40151,40170,"[186, 30, 0]"
187,79150,6,5,8104,40152,40171,"[187, 30, 0]"
9000,88000,6,3,8102,20000,20067,"[0, 30, 3]"
9010,89000,6,4,8103,20001,20068,"[0, 50, 4]"
9020,90000,6,5,8104,20002,20069,"[0, 100, 5]"
