m_id,m_LootBoxGroupID,m_RewardType,m_RewardItemID,m_RewardNum
0,0,0,0,1
46,32,260,30782,1
47,33,260,30781,1
48,34,260,30780,1
49,35,260,30786,1
50,36,260,30785,1
51,37,260,30784,1
52,38,260,30790,1
53,39,260,30789,1
54,40,260,30788,1
55,41,260,10016,1
56,42,260,10018,1
57,43,260,10019,1
58,44,260,10216,1
59,45,260,10218,1
60,46,260,10219,1
61,47,260,10416,1
62,48,260,10418,1
63,49,260,10419,1
64,50,260,10616,1
65,51,260,10618,1
66,52,260,10619,1
67,53,260,10816,1
68,54,260,10818,1
69,55,260,10819,1
70,56,260,11016,1
71,57,260,11018,1
72,58,260,11019,1
73,59,260,10021,1
74,60,260,10023,1
75,61,260,10024,1
76,62,260,10221,1
77,63,260,10223,1
78,64,260,10224,1
79,65,260,10421,1
80,66,260,10423,1
81,67,260,10424,1
82,68,260,10621,1
83,69,260,10623,1
84,70,260,10624,1
85,71,260,10821,1
86,72,260,10823,1
87,73,260,10824,1
88,74,260,11021,1
89,75,260,11023,1
90,76,260,11024,1
91,77,260,10025,1
92,78,260,10028,1
93,79,260,10029,1
94,80,260,10225,1
95,81,260,10228,1
96,82,260,10229,1
97,83,260,10425,1
98,84,260,10428,1
99,85,260,10429,1
100,86,260,10625,1
101,87,260,10628,1
102,88,260,10629,1
103,89,260,10825,1
104,90,260,10828,1
105,91,260,10829,1
106,92,260,11025,1
107,93,260,11028,1
108,94,260,11029,1
109,95,260,10034,1
110,96,260,10036,1
111,97,260,10038,1
112,98,260,10040,1
113,99,260,10234,1
114,100,260,10236,1
115,101,260,10238,1
116,102,260,10240,1
117,103,260,10434,1
118,104,260,10436,1
119,105,260,10438,1
120,106,260,10440,1
121,107,260,10634,1
122,108,260,10636,1
123,109,260,10638,1
124,110,260,10640,1
125,111,260,10834,1
126,112,260,10836,1
127,113,260,10838,1
128,114,260,10840,1
129,115,260,11034,1
130,116,260,11036,1
131,117,260,11038,1
132,118,260,11040,1
133,119,250,2000,5
134,120,250,2001,5
135,121,250,2002,1
136,122,250,2003,1
137,123,250,2004,5
138,124,250,2005,5
139,125,250,2006,1
140,126,250,2007,1
141,127,250,2008,5
142,128,250,2009,5
143,129,250,2010,1
144,130,250,2011,1
145,131,250,2012,5
146,132,250,2013,5
147,133,250,2014,1
148,134,250,2015,1
149,135,250,2016,5
150,136,250,2017,5
151,137,250,2018,1
152,138,250,2019,1
153,139,250,2020,5
154,140,250,2021,5
155,141,250,2022,1
156,142,250,2023,1
10001,10001,260,10004,1
10002,10002,260,10007,1
10003,10003,260,10008,1
10004,10004,260,10010,1
10005,10005,260,10204,1
10006,10006,260,10207,1
10007,10007,260,10208,1
10008,10008,260,10210,1
10009,10009,260,10404,1
10010,10010,260,10407,1
10011,10011,260,10408,1
10012,10012,260,10410,1
10013,10013,260,10604,1
10014,10014,260,10607,1
10015,10015,260,10608,1
10016,10016,260,10610,1
10017,10017,260,10804,1
10018,10018,260,10807,1
10019,10019,260,10808,1
10020,10020,260,10810,1
10021,10021,260,11004,1
10022,10022,260,11007,1
10023,10023,260,11008,1
10024,10024,260,11010,1
10025,10025,130,130035,1
10026,10026,130,130034,1
