m_id,m_ConditionID,m_OwnerQuest,m_OwnerQuestTask,m_OwnerUniqueChara,m_EventID,m_EnemyID,m_EnemyRaceID,m_ItemID,m_EquipID,m_JobID,m_GenderID,m_InfluenceID,m_TowerTypeID,m_EventFlagVariableID,m_ArenaID,m_EquipType,m_UtcDateTime,m_IntParam,m_StrParam
94051,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
94066,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103088,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103089,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103090,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 0, 10, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103091,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 0, 10, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103092,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 0, 20, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103093,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 0, 20, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103094,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103095,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103096,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1, 10, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103097,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1, 10, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103098,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1, 20, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103099,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 1, 20, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
103100,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 2, 0, 0, 0, 0, 0, 0]","['', '', '', '', '', '', '', '']"
