m_id,m_OwnerQuest,m_TaskType,m_TaskNo,m_HideTask,m_Purpose,m_Synopsis,m_NextDestination,m_DestNpcSetLabel,m_DestPathName,m_ClearedQuest,m_OpenConditionID,m_StartConditionID,m_InvalidConditionID,m_ReorderMax,m_ReorderInterval,m_SubClearConditionID,m_ClearConditionID,m_CondQuest,m_CondQuestTask,m_OwnerUniqueChara,m_EventID,m_EnemyID,m_EnemyRaceID,m_ItemID,m_EquipID,m_IntParam,m_StrParam,m_StartEvent,m_ShowStartUI,m_QuestStartEffectType,m_ClearEvent,m_ShowClearUI,m_QuestClearEffectType,m_TaskItemId,m_TaskItemNum,m_BlockadeIgnoreRouteSearch
1,1001010,1,0,194,0,0,46,eTALK_B01S_1_0,PathActorBP8,"[0, 0, 0, 0]","[10, 0]","[91001, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
926,1001010,2,1,194,10101005,10101006,46,eTALK_B01S_1_0a,PathActorBP8,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,3,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",59,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
3,1001010,2,2,194,10101015,10101016,51,eTALK_B01S_1_1,PathActorBP44,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,7,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
4,1001010,2,3,194,10101025,10101026,52,eTALK_B01S_1_2,PathActorBP3,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,58,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
363,1001010,2,4,194,10101035,10101036,51,eTALK_B01S_1_3,PathActorBP60,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,12,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
364,1001010,2,5,194,10101045,10101046,51,eTALK_B01S_1_4,PathActorBP44,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,56,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
365,1001010,2,6,194,10101055,10101056,46,eTALK_B01S_1_5,PathActorBP18,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,17,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
618,1001020,1,0,194,0,0,46,eTALK_B01S_2_0,PathActorBP41,"[1001010, 0, 0, 0]","[0, 0]","[91002, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
366,1001020,2,1,194,10102025,10102026,56,QuTr_B01_02_01_SnT11A,PathActorBP2,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,26,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",6228,195,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
367,1001020,2,2,194,10102035,10102036,64,eTALK_B01S_2_2,PathActorBP34,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,27,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
